time,count
2025-06-27 18:11:00,4
2025-06-27 18:12:00,6
2025-06-27 18:13:00,4
2025-06-27 18:14:00,5
2025-06-27 18:15:00,3
2025-06-27 18:16:00,5
2025-06-27 18:17:00,7
2025-06-27 18:18:00,4
2025-06-27 18:19:00,8
2025-06-27 18:20:00,2
2025-06-27 18:21:00,6
2025-06-27 18:22:00,4
2025-06-27 18:23:00,1
2025-06-27 18:24:00,7
2025-06-27 18:25:00,5
2025-06-27 18:26:00,8
2025-06-27 18:27:00,5
2025-06-27 18:28:00,4
2025-06-27 18:29:00,4
2025-06-27 18:30:00,7
2025-06-27 18:31:00,3
2025-06-27 18:32:00,3
2025-06-27 18:33:00,4
2025-06-27 18:34:00,9
2025-06-27 18:35:00,2
2025-06-27 18:36:00,5
2025-06-27 18:37:00,4
2025-06-27 18:38:00,2
2025-06-27 18:39:00,9
2025-06-27 18:40:00,3
2025-06-27 18:41:00,4
2025-06-27 18:42:00,2
2025-06-27 18:43:00,7
2025-06-27 18:44:00,6
2025-06-27 18:45:00,2
2025-06-27 18:46:00,3
2025-06-27 18:47:00,5
2025-06-27 18:48:00,4
2025-06-27 18:49:00,2
2025-06-27 18:50:00,2
2025-06-27 18:51:00,4
2025-06-27 18:52:00,5
2025-06-27 18:53:00,5
2025-06-27 18:54:00,3
2025-06-27 18:55:00,11
2025-06-27 18:56:00,3
2025-06-27 18:57:00,5
2025-06-27 18:58:00,5
2025-06-27 18:59:00,2
2025-06-27 19:00:00,2
2025-06-27 19:01:00,3
2025-06-27 19:02:00,10
2025-06-27 19:03:00,5
2025-06-27 19:04:00,3
2025-06-27 19:05:00,1
2025-06-27 19:06:00,3
2025-06-27 19:07:00,2
2025-06-27 19:08:00,2
2025-06-27 19:09:00,4
2025-06-27 19:10:00,2
2025-06-27 19:11:00,4
2025-06-27 19:12:00,4
2025-06-27 19:13:00,4
2025-06-27 19:14:00,3
2025-06-27 19:15:00,2
2025-06-27 19:16:00,1
2025-06-27 19:17:00,5
2025-06-27 19:18:00,9
2025-06-27 19:19:00,4
2025-06-27 19:20:00,4
2025-06-27 19:21:00,4
2025-06-27 19:22:00,2
2025-06-27 19:23:00,2
2025-06-27 19:24:00,5
2025-06-27 19:25:00,4
2025-06-27 19:26:00,1
2025-06-27 19:27:00,5
2025-06-27 19:28:00,2
2025-06-27 19:29:00,5
2025-06-27 19:30:00,5
2025-06-27 19:31:00,2
2025-06-27 19:32:00,5
2025-06-27 19:33:00,4
2025-06-27 19:34:00,5
2025-06-27 19:35:00,4
2025-06-27 19:36:00,4
2025-06-27 19:37:00,4
2025-06-27 19:38:00,4
2025-06-27 19:39:00,12
2025-06-27 19:40:00,3
2025-06-27 19:41:00,3
2025-06-27 19:42:00,4
2025-06-27 19:43:00,3
2025-06-27 19:44:00,8
2025-06-27 19:45:00,4
2025-06-27 19:46:00,7
2025-06-27 19:47:00,3
2025-06-27 19:49:00,3
2025-06-27 19:50:00,5
2025-06-27 19:51:00,1
2025-06-27 19:52:00,4
2025-06-27 19:53:00,4
2025-06-27 19:54:00,5
2025-06-27 19:55:00,3
2025-06-27 19:56:00,5
2025-06-27 19:57:00,5
2025-06-27 19:58:00,3
2025-06-27 19:59:00,2
2025-06-27 20:00:00,3
2025-06-27 20:01:00,2
2025-06-27 20:02:00,3
2025-06-27 20:03:00,2
2025-06-27 20:04:00,6
2025-06-27 20:05:00,9
2025-06-27 20:06:00,2
2025-06-27 20:07:00,5
2025-06-27 20:08:00,2
2025-06-27 20:09:00,3
2025-06-27 20:10:00,7
2025-06-27 20:11:00,2
